t,x_planet,y_planet,x_sputnik,y_sputnik,vx_planet,vy_planet,vx_sputnik,vy_sputnik,energy
2.698213768194948e+06,7.792076080360929e+11,3.506511284404657e+10,5.562510305495085e+11,2.518732525351009e+10,-5.893252940959948e+02,1.298681034157599e+04,-8.379429555409525e+04,9.292149059922420e+03,-1.642369237915025e+35
2.735688959419878e+06,7.791853691477102e+11,3.555178909129545e+10,5.531105221271749e+11,2.553553658798833e+10,-5.975339021978889e+02,1.298643837732911e+04,-8.381039941878438e+04,9.291412596413591e+03,-1.642369237915025e+35
2.773164150644808e+06,7.791628226444701e+11,3.603845130304149e+10,5.499694067420562e+11,2.588371989272417e+10,-6.057422802481907e+02,1.298606128589629e+04,-8.382668882847425e+04,9.290653045869467e+03,-1.642369237915024e+35
2.810639341869737e+06,7.791399685350522e+11,3.652509928714496e+10,5.468276773846050e+11,2.623187429061628e+10,-6.139504251235011e+02,1.298567906741354e+04,-8.384316679574166e+04,9.289869769249379e+03,-1.642369237915025e+35
2.848114533094667e+06,7.791168068282535e+11,3.701173285147126e+10,5.436853269309533e+11,2.657999888022777e+10,-6.221583337003566e+02,1.298529172201871e+04,-8.385983640943092e+04,9.289062106717140e+03,-1.642369237915025e+35
2.885589724319597e+06,7.790933375329878e+11,3.749835180389099e+10,5.405423481400233e+11,2.692809273499303e+10,-6.303660028552392e+02,1.298489924985144e+04,-8.387670083631169e+04,9.288229376895933e+03,-1.642369237915025e+35
2.923064915544527e+06,7.790695606582859e+11,3.798495595228002e+10,5.373987336505743e+11,2.727615490239598e+10,-6.385734294645857e+02,1.298450165105319e+04,-8.389376332283283e+04,9.287370876089682e+03,-1.642369237915025e+35
2.960540106769457e+06,7.790454762132959e+11,3.847154510451955e+10,5.342544759781829e+11,2.762418440311857e+10,-6.467806104047960e+02,1.298409892576724e+04,-8.391102719697222e+04,9.286485877469435e+03,-1.642369237915025e+35
2.998015297994387e+06,7.790210842072827e+11,3.895811906849619e+10,5.311095675121507e+11,2.797218023015800e+10,-6.549875425522412e+02,1.298369107413868e+04,-8.392849587018340e+04,9.285573630223244e+03,-1.642369237915025e+35
3.035490489219317e+06,7.789963846496285e+11,3.944467765210202e+10,5.279640005123390e+11,2.832014134791145e+10,-6.631942227832711e+02,1.298327809631441e+04,-8.394617283943995e+04,9.284633358667874e+03,-1.642369237915025e+35
3.072965680444247e+06,7.789713775498325e+11,3.993122066323465e+10,5.248177671059233e+11,2.866806669122679e+10,-6.714006479742212e+02,1.298285999244315e+04,-8.396406168937894e+04,9.283664261320617e+03,-1.642369237915024e+35
3.110440871669177e+06,7.789460629175107e+11,4.041774790979730e+10,5.216708592840670e+11,2.901595516441766e+10,-6.796068150014191e+02,1.298243676267543e+04,-8.398216609454495e+04,9.282665509929335e+03,-1.642369237915025e+35
3.147916062894106e+06,7.789204407623966e+11,4.090425919969888e+10,5.185232688985076e+11,2.936380564024145e+10,-6.878127207411909e+02,1.298200840716359e+04,-8.400048982173682e+04,9.281636248458784e+03,-1.642369237915024e+35
3.185391254119036e+06,7.788945110943403e+11,4.139075434085401e+10,5.153749876580547e+11,2.971161695883838e+10,-6.960183620698664e+02,1.298157492606179e+04,-8.401903673245903e+04,9.280575592031133e+03,-1.642369237915025e+35
3.222866445343966e+06,7.788682739233093e+11,4.187723314118317e+10,5.122260071249929e+11,3.005938792663008e+10,-7.042237358637854e+02,1.298113631952599e+04,-8.403781078548064e+04,9.279482625818455e+03,-1.642369237915024e+35
3.260341636568896e+06,7.788417292593881e+11,4.236369540861267e+10,5.090763187113872e+11,3.040711731517563e+10,-7.124288389993019e+02,1.298069258771397e+04,-8.405681603950409e+04,9.278356403884873e+03,-1.642369237915024e+35
3.297816827793826e+06,7.788148771127781e+11,4.285014095107481e+10,5.059259136752860e+11,3.075480385998325e+10,-7.206336683527896e+02,1.298024373078533e+04,-8.407605665594729e+04,9.277195947975850e+03,-1.642369237915024e+35
3.335292019018756e+06,7.787877174937979e+11,4.333656957650787e+10,5.027747831168182e+11,3.110244625927567e+10,-7.288382208006462e+02,1.297978974890146e+04,-8.409553690184224e+04,9.276000246252024e+03,-1.642369237915023e+35
3.372767210243686e+06,7.787602504128831e+11,4.382298109285622e+10,4.996229179741791e+11,3.145004317270681e+10,-7.370424932192979e+02,1.297933064222557e+04,-8.411526115285367e+04,9.274768251964790e+03,-1.642369237915024e+35
3.410242401468616e+06,7.787324758805863e+11,4.430937530807039e+10,4.964703090195003e+11,3.179759322002789e+10,-7.452464824852028e+02,1.297886641092270e+04,-8.413523389642194e+04,9.273498882070679e+03,-1.642369237915024e+35
3.447717592693545e+06,7.787043939075774e+11,4.479575203010713e+10,4.933169468546008e+11,3.214509497970021e+10,-7.534501854748559e+02,1.297839705515967e+04,-8.415545973503398e+04,9.272191015781418e+03,-1.642369237915024e+35
3.485192783918475e+06,7.786760045046431e+11,4.528211106692947e+10,4.901628219066119e+11,3.249254698745250e+10,-7.616535990647919e+02,1.297792257510513e+04,-8.417594338962706e+04,9.270843493046365e+03,-1.642369237915024e+35
3.522667975143405e+06,7.786473076826873e+11,4.576845222650678e+10,4.870079244234721e+11,3.283994773477999e+10,-7.698567201315892e+02,1.297744297092954e+04,-8.419668970313016e+04,9.269455112963797e+03,-1.642369237915024e+35
3.560143166368335e+06,7.786183034527307e+11,4.625477531681489e+10,4.838522444692872e+11,3.318729566738259e+10,-7.780595455518730e+02,1.297695824280516e+04,-8.421770364414781e+04,9.268024632117351e+03,-1.642369237915025e+35
3.597618357593265e+06,7.785889918259115e+11,4.674108014583607e+10,4.806957719195493e+11,3.353458918353923e+10,-7.862620722023188e+02,1.297646839090608e+04,-8.423899031079210e+04,9.266550762833676e+03,-1.642369237915024e+35
3.635093548818195e+06,7.785593728134845e+11,4.722736652155920e+10,4.775384964562087e+11,3.388182663241542e+10,-7.944642969596548e+02,1.297597341540817e+04,-8.426055493466844e+04,9.265032171357107e+03,-1.642369237915025e+35
3.672568740043125e+06,7.785294464268218e+11,4.771363425197973e+10,4.743804075625948e+11,3.422900631230070e+10,-8.026662167006658e+02,1.297547331648914e+04,-8.428240288502118e+04,9.263467475936943e+03,-1.642369237915024e+35
